Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
INVERSIONES JAY MORRIS S.A.S.,0.09156896,0,0.056566,0.172083,0.252123,0,1.301093,0
INVERSIONES JORGE DIAZ SAS,0.138655845,0.000221,0.067716,0.033592,0.014788,0,0.294641,0
INVERSIONES LOS LAGOS GP SAS,0.034615138,0.021261,0.008465,0.231806,0.137844,0.333011,0.199611,0
INVERSIONES MEGAMOTOR SAS,-0.014268604,0.029538,0.020223,0.170834,0.106074,-0.195134,1.090045,0
INVERSIONES METROFUTURO SAS,0.046172783,0,0.046173,0.335177,0.008155,0,4.047467,0
INVERSIONES PACA SAS,0.18724,0,0.002562,0.131188,0.23498,0.294758,4.237037,0
INVERSIONES PRACAM S.A.S.,0.100762271,0.057189,0.021607,0.16898,0.011637,0.357996,3.05185,0
INVERSIONES PRB SAS,0.048485176,0.032846,0.017565,0.268533,0.101681,0.826168,0.270666,0
INVERSIONES VALLE SAN FERNANDO SCS,0.107076138,0.04907,-0.019366,0.004539,0.12147,0,0.884027,0
INVERSIONES Y CONSTRUCCIONES EL CARMEN S.A.S.,0.038916255,0.01362,-0.000347,0.010939,0.14732,0.664139,0.855305,0
INVERSIONES Y MATERIALES PETREOS,0.124242575,0.022297,0.055379,0.126795,0.336179,0,0.847648,0
INVERSORA DEL ORIENTE COLOMBIANO SA,-0.009509123,0.031697,-0.04042,0.008733,0.054442,-0.071624,0.49939,0
INVFACER SAS,0.034329421,0.033,0.021344,0.088461,0.137106,0.586205,2.224493,0
IWIN S.A.S,0.1542376,0.041583,0.115141,0.390258,0.210843,0.970849,4.170205,0
Integra Diseño y Construcción SAS,0.042964295,0.020529,0.044821,0.02403,0.239482,0.157876,1.658934,0
J P FLOWERS SAS,-0.000665793,0,0.016283,0.273916,0.263549,-0.00506,0.592359,0
J RESTREPO EQUIPHOS SAS,0.162096927,0.005118,0.095682,0.308501,0.043663,0.424248,0.474878,0
JASPIN SAS,0.039335458,0.008682,0.021671,0.07575,0.177073,0.279293,0.340315,0
KP EMPAQUES FLEXIBLES SAS,0.063294451,0.031683,0.019461,0.182031,0.140824,0.242318,0.31467,0
