fecha_publicacion,candidato,titulo_video,vistas,likes,comentarios,suscriptores_canal,engagement_rate,engagement_por_1000
2025-05-15,Gustavo Bolívar,MI TRISTE DESPEDIDA DE DPS,40540,5813,743,256000,14.34,25.61
2025-05-08,Gustavo Bolívar,Los niños de hoy darán Vida eterna al vallenato.,513,41,0,256000,7.99,0.16
2025-04-28,Gustavo Bolívar,LAS CAUSAS TRIBUTARIAS DE LA GUERRA,1761,351,3,256000,19.93,1.38
2025-04-17,Gustavo Bolívar,17 de abril de 2025,3741,672,5,256000,17.96,2.64
2025-01-28,Gustavo Bolívar,Respuesta al hijo de María Fernanda Cabal. Un ser lleno de odio.,58519,6607,660,256000,11.29,28.39
2025-01-03,Gustavo Bolívar,Lanzamiento de #DefensoresDelCambio primeros 60 grandes logros del gobierno Petro,33500,5139,10,256000,15.34,20.11
2024-12-31,Gustavo Bolívar,"December 31, 2024",1478,217,24,256000,14.68,0.94
2024-12-25,Gustavo Bolívar,"Sobre el alza del 9,54% en el salario mínimo",29449,4234,0,256000,14.38,16.54
2024-11-24,Gustavo Bolívar,1.500 ovejas para 300 familias. Enseñar a pescar,1448,443,0,256000,30.59,1.73
2024-11-14,Gustavo Bolívar,Carta abierta a Miguel Polo Polo,67321,11116,3,256000,16.51,43.43
2024-11-02,Gustavo Bolívar,El golpe blando económico.,15591,3073,2,256000,19.71,12.01
2024-10-20,Gustavo Bolívar,Cómo superar la pobreza.,10892,2244,0,256000,20.6,8.77
2024-09-28,Gustavo Bolívar,"Casacadas &quot;Final del mundo&quot; Mocoa, Putumayo, Colombia, país de la belleza",1101,348,0,256000,31.61,1.36
2024-09-21,Gustavo Bolívar,Atérrense de lo que decomisó la dian y que estamos entregando a l gente más pobre,54715,6446,0,256000,11.78,25.18
2024-07-19,Gustavo Bolívar,| Gustavo Bolívar,1861,204,0,256000,10.96,0.8
2024-05-08,Gustavo Bolívar,En vivo. Petro en Santa Marta,2799,259,0,256000,9.25,1.01
2024-03-31,Gustavo Bolívar,Resurrección,2650,156,12,256000,5.89,0.66
